2018-01-27 17:53:11,055 -[DEBUG]  method:[org.springframework.test.annotation.ProfileValueUtils.retrieveProfileValueSource(ProfileValueUtils.java:71) (130ms)] - Retrieved @ProfileValueSourceConfiguration [null] for test class [com.gs.leaf.MybatisMapperTest]
2018-01-27 17:53:11,055 -[DEBUG]  method:[org.springframework.test.annotation.ProfileValueUtils.retrieveProfileValueSource(ProfileValueUtils.java:83) (130ms)] - Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [com.gs.leaf.MybatisMapperTest]
2018-01-27 17:53:11,065 -[DEBUG]  method:[org.springframework.test.context.support.DependencyInjectionTestExecutionListener.prepareTestInstance(DependencyInjectionTestExecutionListener.java:81) (140ms)] - Performing dependency injection for test context [[DefaultTestContext@63e06937 testClass = MybatisMapperTest, testInstance = com.gs.leaf.MybatisMapperTest@2779c1cb, testMethod = [null], testException = [null], mergedContextConfiguration = [MergedContextConfiguration@221bcd1b testClass = MybatisMapperTest, locations = '{classpath:applicationContext-dao.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]]].
2018-01-27 17:53:11,065 -[DEBUG]  method:[org.springframework.test.context.support.AbstractDelegatingSmartContextLoader.delegateLoading(AbstractDelegatingSmartContextLoader.java:107) (140ms)] - Delegating to GenericXmlContextLoader to load context from [MergedContextConfiguration@221bcd1b testClass = MybatisMapperTest, locations = '{classpath:applicationContext-dao.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]].
2018-01-27 17:53:11,065 -[DEBUG]  method:[org.springframework.test.context.support.AbstractGenericContextLoader.loadContext(AbstractGenericContextLoader.java:107) (140ms)] - Loading ApplicationContext for merged context configuration [[MergedContextConfiguration@221bcd1b testClass = MybatisMapperTest, locations = '{classpath:applicationContext-dao.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]].
2018-01-27 17:53:11,215 -[DEBUG]  method:[org.springframework.core.env.MutablePropertySources.addLast(MutablePropertySources.java:109) (290ms)] - Adding [systemProperties] PropertySource with lowest search precedence
2018-01-27 17:53:11,225 -[DEBUG]  method:[org.springframework.core.env.MutablePropertySources.addLast(MutablePropertySources.java:109) (300ms)] - Adding [systemEnvironment] PropertySource with lowest search precedence
2018-01-27 17:53:11,225 -[DEBUG]  method:[org.springframework.core.env.AbstractEnvironment.<init>(AbstractEnvironment.java:127) (300ms)] - Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
2018-01-27 17:53:11,245 -[INFO]  method:[org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(XmlBeanDefinitionReader.java:317) (320ms)] - Loading XML bean definitions from class path resource [applicationContext-dao.xml]
2018-01-27 17:53:11,285 -[DEBUG]  method:[org.springframework.beans.factory.xml.DefaultDocumentLoader.loadDocument(DefaultDocumentLoader.java:73) (360ms)] - Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
